,PontosCredito,Idade,VinculoEmpresa,DinheiroRestante,NumProdutosComprados,CartaoCredito,MembroAtivo,SalarioEstimado,Pais_France,Pais_Germany,Pais_Spain,Sexo_Male,Sexo_Female,Churn
134,572,23,2,126873.52,1,0,1,67040.12,0,0,1,1,0,0
135,514,30,7,0.0,1,0,1,125010.24,0,0,1,1,0,0
136,626,43,4,137638.69,1,1,0,130442.08,1,0,0,1,0,1
137,590,47,3,0.0,2,1,0,171774.5,1,0,0,1,0,0
138,682,47,10,134032.01,1,1,0,144290.97,0,0,1,0,1,0
139,456,32,9,147506.25,1,1,1,135399.21,0,0,1,1,0,0
140,533,38,1,135289.33,2,0,1,152956.33,0,0,1,1,0,0
141,625,32,7,106957.28,1,1,1,134794.02,0,0,1,1,0,0
142,528,34,1,125566.9,1,1,1,176763.27,1,0,0,1,0,0
143,624,51,5,174397.21,2,1,1,172372.63,0,0,1,1,0,0
144,584,59,1,0.0,1,0,1,130260.11,0,0,1,0,1,1
145,615,39,4,133707.09,1,1,1,108152.75,1,0,0,1,0,0
146,555,21,1,0.0,2,0,0,103901.35,0,0,1,1,0,0
147,500,50,5,0.0,4,1,1,83866.35,0,0,1,0,1,1
148,838,43,9,123105.88,2,1,0,145765.83,0,0,1,1,0,0
149,507,41,3,58820.32,2,1,1,138536.09,1,0,0,1,0,0
150,591,24,6,147360.0,1,1,1,25310.82,1,0,0,1,0,0
151,662,44,8,0.0,2,1,1,175314.87,1,0,0,1,0,0
152,743,43,2,161807.18,2,0,1,93228.86,0,0,1,1,0,1
153,604,53,2,121389.78,1,1,1,48201.64,1,0,0,0,1,1
154,777,37,1,0.0,1,1,1,126837.72,1,0,0,1,0,0
155,695,42,5,0.0,1,0,1,72172.13,1,0,0,0,1,1
156,666,39,10,0.0,2,1,0,102999.33,1,0,0,1,0,0
157,831,34,2,0.0,2,0,0,165840.94,1,0,0,0,1,0
158,470,31,4,55732.92,2,1,1,103792.53,0,0,1,1,0,0
159,608,33,9,89968.69,1,1,0,68777.26,1,0,0,1,0,0
160,812,38,3,127117.8,2,1,1,174822.74,0,0,1,1,0,0
161,705,92,1,126076.24,2,1,1,34436.83,1,0,0,1,0,0
162,427,39,9,0.0,2,1,0,28368.37,0,0,1,0,1,0
163,586,28,2,0.0,2,1,1,92067.35,0,0,1,0,1,0
164,535,47,0,160729.1,1,0,1,145986.35,1,0,0,1,0,0
165,753,35,4,0.0,2,1,1,106303.4,1,0,0,1,0,0
166,617,25,1,102585.88,2,1,1,115387.4,1,0,0,1,0,0
167,514,32,8,0.0,2,1,0,95857.18,1,0,0,1,0,0
168,725,39,1,50880.98,2,1,1,184023.54,0,1,0,1,0,0
169,644,26,8,96659.64,2,1,1,138775.69,0,0,1,1,0,0
170,586,42,6,0.0,2,1,1,123410.23,0,0,1,1,0,0
171,605,52,1,63349.75,1,1,0,108887.44,1,0,0,1,0,0
172,558,27,1,152283.39,1,1,0,183271.15,1,0,0,1,0,0
173,657,38,7,0.0,2,1,0,185827.74,1,0,0,1,0,0
174,677,18,8,134796.87,2,1,1,114858.9,0,0,1,1,0,0
175,502,30,4,0.0,2,1,1,66263.87,1,0,0,1,0,0
176,595,64,2,105736.32,1,1,1,89935.73,0,1,0,0,1,1
177,613,36,9,131307.11,1,0,0,83343.73,1,0,0,1,0,0
178,705,37,3,109974.22,1,1,1,36320.87,0,1,0,0,1,1
179,686,34,6,146178.13,2,1,1,88837.11,1,0,0,1,0,0
180,548,32,5,175214.71,1,1,1,155165.61,0,1,0,1,0,0
181,619,41,8,142015.76,2,1,0,114323.66,0,1,0,0,1,0
182,606,35,0,135984.15,2,1,0,186778.89,1,0,0,0,1,0
183,614,51,4,40685.92,1,1,1,46775.28,1,0,0,1,0,0
184,666,59,8,152614.51,2,1,1,188782.3,0,1,0,0,1,0
185,731,21,8,132312.06,1,1,0,106663.46,0,1,0,0,1,1
186,680,33,1,123082.08,1,1,0,134960.98,1,0,0,1,0,0
187,710,30,10,0.0,2,1,0,19500.1,0,0,1,0,1,0
188,593,62,3,118233.81,1,0,1,24765.53,0,1,0,0,1,1
189,807,36,4,0.0,2,0,1,147007.33,1,0,0,0,1,0
190,640,29,5,197200.04,2,1,0,141453.62,0,0,1,1,0,0
191,743,36,4,0.0,2,1,1,190911.02,1,0,0,1,0,0
192,788,41,6,0.0,1,1,1,25571.37,1,0,0,0,1,0
193,735,43,9,127806.91,1,1,1,73069.59,1,0,0,1,0,0
194,497,44,2,121250.04,1,0,1,79691.4,0,0,1,1,0,0
195,516,40,9,0.0,2,0,1,33266.29,1,0,0,0,1,0
196,629,44,5,0.0,4,0,0,117572.59,1,0,0,1,0,1
197,555,44,3,105770.7,3,1,0,60533.96,1,0,0,0,1,1
198,639,54,2,0.0,2,1,1,53843.71,0,0,1,0,1,0
199,650,71,0,0.0,1,1,1,175380.77,0,0,1,1,0,0
200,744,29,1,0.0,1,0,0,82422.97,1,0,0,1,0,0
201,565,40,2,0.0,2,1,1,129956.13,1,0,0,0,1,0
202,619,28,3,0.0,2,1,0,53394.12,1,0,0,0,1,0
203,574,34,1,112572.39,1,0,0,165626.6,1,0,0,1,0,0
204,720,34,6,110717.38,1,1,1,9398.45,1,0,0,0,1,0
205,648,39,6,130694.89,2,1,1,153955.38,1,0,0,0,1,1
206,612,62,0,167026.61,2,1,1,192892.05,0,0,1,0,1,0
207,776,33,8,115130.34,1,0,0,129525.5,0,1,0,1,0,1
208,686,47,6,0.0,1,1,0,32080.69,0,0,1,0,1,1
209,654,40,5,105683.63,1,1,0,173617.09,0,0,1,1,0,0
210,676,43,2,0.0,1,1,1,55119.53,1,0,0,0,1,0
211,667,33,9,124573.33,2,0,0,683.37,0,1,0,1,0,0
212,518,45,9,105525.65,2,1,1,73418.29,1,0,0,0,1,0
213,700,36,4,0.0,2,1,0,130789.15,1,0,0,0,1,0
214,710,32,3,0.0,1,1,0,94790.34,1,0,0,0,1,0
215,528,40,4,0.0,2,1,0,25399.7,0,0,1,1,0,0
216,748,60,3,0.0,2,1,1,78194.37,0,0,1,1,0,0
217,663,42,7,115930.87,1,1,0,19862.78,0,1,0,1,0,0
218,743,43,5,0.0,2,0,0,113079.19,1,0,0,1,0,1
219,753,38,6,142263.45,1,0,1,33730.43,1,0,0,0,1,0
220,542,34,8,108653.93,1,0,1,144725.14,0,0,1,1,0,0
221,643,45,4,45144.43,1,1,0,60917.24,1,0,0,0,1,1
222,734,47,10,91522.04,2,1,1,138835.91,0,1,0,0,1,0
223,522,30,3,0.0,2,1,0,145490.85,0,0,1,1,0,0
224,662,34,2,117731.79,2,0,1,55120.79,1,0,0,1,0,0
225,603,31,8,0.0,2,1,1,169915.02,1,0,0,1,0,0
226,550,48,6,0.0,2,1,1,191870.28,1,0,0,0,1,0
227,706,29,2,0.0,2,1,1,18255.51,0,0,1,1,0,0
228,628,45,6,53667.44,1,1,0,115022.94,0,1,0,0,1,0
229,430,35,1,118894.22,1,0,0,2923.61,1,0,0,1,0,0
230,516,46,6,62212.29,1,0,1,171681.86,1,0,0,0,1,1
231,653,51,3,0.0,1,1,0,170426.65,1,0,0,1,0,1
232,504,56,9,104217.3,1,0,0,55857.48,0,1,0,1,0,1
233,816,38,5,130878.75,3,1,0,71905.77,0,1,0,0,1,1
234,850,32,3,137714.25,1,0,1,159403.68,0,1,0,1,0,0
235,850,43,3,0.0,2,0,0,2465.8,1,0,0,0,1,0
236,709,37,8,0.0,3,1,0,71738.56,0,0,1,0,1,0
237,602,38,2,71667.97,2,0,0,137111.89,0,1,0,1,0,0
238,445,62,1,64119.38,1,1,1,76569.64,0,0,1,1,0,1
239,507,31,9,111589.67,1,1,0,150037.19,0,1,0,1,0,0
240,818,43,10,105301.5,1,1,1,78941.59,0,1,0,1,0,0
241,744,42,1,112419.92,1,1,1,83022.92,1,0,0,1,0,0
242,526,36,5,91132.18,1,0,0,58111.71,0,0,1,0,1,0
243,675,54,2,0.0,1,1,0,149583.67,1,0,0,1,0,1
244,676,61,8,0.0,2,1,1,118522.73,1,0,0,0,1,0
245,579,64,6,145215.43,1,1,1,164083.72,0,1,0,0,1,0
246,806,37,2,137794.18,2,0,1,75232.02,0,0,1,0,1,0
247,701,21,9,0.0,2,1,1,26327.42,0,0,1,0,1,0
248,569,35,10,124525.52,1,1,1,193793.78,1,0,0,1,0,0
249,476,34,10,0.0,2,1,0,26260.98,1,0,0,0,1,0
250,591,38,2,142289.28,1,0,1,119638.85,1,0,0,0,1,0
251,746,37,2,0.0,2,1,0,143194.05,1,0,0,1,0,0
252,838,34,8,0.0,2,1,0,27472.07,1,0,0,0,1,0
253,816,67,6,151858.98,1,1,1,72814.31,0,0,1,1,0,0
254,718,49,10,82321.88,1,0,1,11144.4,0,0,1,0,1,0
255,774,43,1,110646.54,1,0,0,108804.28,0,0,1,0,1,0
256,590,44,3,139432.37,1,1,0,62222.81,0,0,1,0,1,0
257,720,46,3,97042.6,1,1,1,133516.51,0,1,0,1,0,1
258,639,38,5,130170.82,1,1,1,149599.62,0,1,0,1,0,0
259,563,24,7,0.0,2,0,0,16319.56,0,0,1,1,0,0
260,567,40,8,28649.64,1,1,1,95140.62,0,0,1,1,0,0
261,621,35,7,87619.29,1,1,0,143.34,1,0,0,1,0,0
262,798,22,8,0.0,2,1,0,107615.43,1,0,0,1,0,0
263,804,33,7,76548.6,1,0,1,98453.45,0,0,1,1,0,0
264,631,51,8,100654.8,1,1,0,171587.9,1,0,0,1,0,0
265,756,30,2,145127.85,1,0,0,7554.68,0,0,1,1,0,0
266,736,43,4,202443.47,1,1,0,72375.03,1,0,0,1,0,0
267,772,42,3,75075.31,2,1,0,92888.52,0,1,0,1,0,1
268,732,36,5,0.0,2,1,0,161428.25,1,0,0,1,0,0
269,710,35,1,106518.52,1,1,1,127951.81,0,0,1,1,0,0
270,453,40,1,111524.49,1,1,1,120373.84,0,1,0,0,1,1
271,819,35,1,0.0,2,0,1,3385.04,1,0,0,1,0,0
272,584,38,1,115341.55,1,0,1,173632.92,1,0,0,1,0,0
273,625,39,5,0.0,2,1,0,32615.21,1,0,0,0,1,0
274,558,45,4,0.0,1,1,0,131807.14,0,0,1,1,0,0
275,680,58,8,0.0,2,1,1,65708.5,0,0,1,0,1,0
276,744,38,9,0.0,2,0,0,20940.76,1,0,0,0,1,0
277,725,46,6,0.0,2,1,0,161767.38,1,0,0,1,0,0
278,564,62,5,114931.35,3,0,1,18260.98,0,1,0,0,1,1
279,527,32,7,0.0,2,1,1,44099.75,1,0,0,0,1,0
280,636,39,3,118336.14,1,1,0,184691.77,1,0,0,0,1,0
281,684,27,9,122550.05,2,0,1,137835.82,1,0,0,0,1,0
282,650,37,9,0.0,2,1,0,17974.08,1,0,0,1,0,0
283,698,51,6,144237.91,4,1,0,157143.61,1,0,0,0,1,1
284,592,34,9,0.0,2,1,1,20460.2,1,0,0,0,1,0
285,679,36,1,97234.58,1,1,0,188997.08,1,0,0,1,0,0
286,494,35,9,112727.06,2,1,0,183752.91,1,0,0,0,1,0
287,717,28,9,82498.14,2,0,0,40437.67,0,1,0,0,1,0
288,751,31,8,0.0,2,0,0,17550.49,1,0,0,1,0,0
289,680,42,0,0.0,1,1,0,136377.21,0,0,1,1,0,0
290,635,53,8,117005.55,1,0,1,123646.57,0,1,0,1,0,1
291,576,29,5,108541.04,1,1,1,126469.09,1,0,0,0,1,0
292,673,43,8,127132.96,1,0,1,6009.27,0,0,1,1,0,1
293,818,49,2,0.0,1,0,1,192298.84,1,0,0,0,1,1
294,642,26,1,138023.79,2,0,1,117060.2,1,0,0,1,0,0
295,666,30,7,109805.3,1,0,1,163625.56,1,0,0,1,0,0
296,842,29,8,0.0,2,1,1,123437.05,1,0,0,1,0,0
297,539,22,0,100885.93,2,1,1,38772.65,1,0,0,0,1,0
298,600,46,10,95502.21,1,0,0,19842.18,1,0,0,1,0,0
299,725,36,1,118851.05,1,1,1,102747.02,1,0,0,0,1,0
300,670,20,4,0.0,2,1,0,119759.24,0,0,1,0,1,0
301,723,48,7,0.0,2,1,1,150694.58,1,0,0,1,0,0
302,480,40,6,148790.61,1,0,1,79329.7,1,0,0,1,0,0
303,559,43,1,0.0,2,1,1,196645.87,1,0,0,0,1,0
304,522,34,3,0.0,2,1,1,3894.34,1,0,0,0,1,0
305,724,41,5,0.0,1,0,1,115753.94,0,0,1,1,0,0
306,600,53,7,106261.63,1,1,0,93629.66,0,1,0,1,0,1
307,602,30,9,113672.18,2,0,0,102135.92,0,0,1,1,0,0
308,715,23,7,139224.92,2,1,0,65057.71,1,0,0,1,0,0
309,516,47,6,109387.33,1,0,0,121365.45,1,0,0,0,1,0
310,422,41,6,153238.88,1,1,0,11663.09,1,0,0,1,0,0
311,736,26,4,135889.13,1,1,1,165692.03,0,0,1,0,1,0
312,744,44,3,0.0,2,1,1,189016.14,1,0,0,0,1,0
313,717,33,1,99106.73,1,0,0,194467.23,0,0,1,1,0,0
314,601,46,2,99786.07,1,1,1,32683.88,1,0,0,1,0,1
315,770,45,4,110765.68,1,1,0,26163.74,0,1,0,1,0,1
316,670,41,10,0.0,3,1,0,81602.02,1,0,0,0,1,0
317,671,31,7,41299.03,1,0,1,102681.32,1,0,0,0,1,0
318,732,35,3,0.0,2,1,0,90876.95,1,0,0,0,1,0
319,714,54,4,137986.58,2,0,1,51308.54,0,1,0,1,0,1
320,729,67,2,94203.8,1,0,1,102391.06,1,0,0,1,0,0
321,694,40,9,0.0,2,1,0,40463.03,1,0,0,1,0,0
322,606,32,1,106301.85,2,0,1,59061.25,0,1,0,0,1,0
323,729,38,7,0.0,2,0,0,45779.9,1,0,0,0,1,0
324,652,41,8,115144.68,1,1,0,188905.43,0,0,1,1,0,0
325,648,51,2,116574.84,1,1,0,4121.04,0,1,0,0,1,1
326,777,35,7,122917.69,1,1,1,76169.68,0,1,0,1,0,0
327,849,41,9,115465.28,1,1,0,103174.5,1,0,0,0,1,0
328,405,39,10,0.0,1,1,0,160810.85,1,0,0,1,0,1
329,569,43,7,0.0,2,1,0,52534.81,1,0,0,1,0,0
330,683,32,9,0.0,2,1,1,24991.92,1,0,0,0,1,0
331,468,28,3,0.0,2,1,0,170661.02,0,0,1,1,0,0
332,554,43,10,0.0,2,1,0,149629.13,1,0,0,0,1,1
333,540,35,7,127801.88,1,0,1,84239.46,0,1,0,1,0,0
334,547,32,2,0.0,2,1,0,132002.83,1,0,0,0,1,0
335,615,24,8,108528.07,2,0,0,179488.41,0,1,0,1,0,1
336,663,33,8,96769.04,1,1,1,36864.05,0,0,1,0,1,0
337,643,30,5,94443.77,1,1,1,165614.4,1,0,0,1,0,0
338,675,35,8,155621.08,1,0,1,35177.31,0,0,1,0,1,0
339,701,43,2,160416.56,1,0,1,37266.43,1,0,0,0,1,0
340,521,61,0,125193.96,1,1,1,109356.53,0,1,0,0,1,0
341,569,30,6,106629.49,1,0,1,44114.88,0,1,0,1,0,0
342,702,35,8,14262.8,2,1,0,54689.16,0,0,1,0,1,0
343,503,32,9,100262.88,2,1,1,157921.25,0,0,1,1,0,0
344,821,45,0,135827.33,2,1,1,131778.58,0,1,0,1,0,0
345,764,38,4,113607.47,1,1,0,91094.46,0,0,1,1,0,0
346,538,38,8,88758.95,2,0,0,28226.15,1,0,0,0,1,1
347,800,39,4,95252.72,1,1,0,13906.34,0,1,0,1,0,0
348,577,46,1,0.0,1,1,1,158750.53,1,0,0,0,1,0
349,597,46,4,0.0,2,1,0,58667.16,0,0,1,0,1,1
350,543,41,6,143350.41,1,1,1,192070.16,0,1,0,1,0,1
351,634,37,3,111432.77,2,1,1,167032.49,0,1,0,1,0,0
352,613,27,5,125167.74,1,1,0,199104.52,1,0,0,0,1,0
353,584,49,8,172713.44,1,1,0,113860.81,1,0,0,1,0,0
354,590,40,8,0.0,2,1,0,62933.03,1,0,0,1,0,0
355,668,38,10,86977.96,1,0,1,37094.75,1,0,0,1,0,0
356,680,44,0,129974.79,2,1,1,33391.38,0,1,0,1,0,0
357,749,37,7,0.0,2,1,0,20306.79,1,0,0,1,0,0
358,465,33,6,0.0,2,1,1,95500.98,0,0,1,0,1,0
359,688,24,3,0.0,2,1,1,102195.16,0,0,1,0,1,0
360,549,54,5,92877.33,1,1,0,2619.64,0,1,0,1,0,1
361,850,70,1,96947.58,3,1,0,62282.99,0,1,0,0,1,1
362,815,39,6,0.0,1,1,1,85167.88,0,0,1,0,1,0
363,727,39,5,80615.46,2,0,0,180962.32,0,1,0,1,0,0
364,569,35,2,109196.66,3,1,0,109393.19,0,1,0,1,0,1
365,678,49,1,0.0,2,1,1,102472.9,0,0,1,0,1,0
366,559,48,2,0.0,2,0,1,137961.41,1,0,0,0,1,0
367,809,43,2,0.0,2,1,1,132908.07,1,0,0,1,0,0
368,667,39,7,167557.12,1,1,1,41183.02,0,0,1,1,0,0
369,590,34,6,0.0,2,1,0,171021.44,0,0,1,0,1,0
370,743,45,7,157332.26,1,1,0,125424.42,0,0,1,1,0,0
371,657,48,5,143595.87,1,0,0,101314.65,0,1,0,0,1,1
372,687,35,8,100988.39,2,1,0,22247.27,0,0,1,1,0,0
373,807,40,1,134590.21,1,1,1,46253.65,0,1,0,0,1,0
374,601,26,8,78892.23,1,1,1,23703.52,1,0,0,0,1,0
375,773,33,9,0.0,2,1,1,1118.31,1,0,0,1,0,0
376,597,41,4,153198.23,1,1,1,92090.36,1,0,0,1,0,0
377,701,30,3,156660.72,2,1,0,45742.42,1,0,0,1,0,0
378,537,39,2,0.0,2,1,1,137651.6,1,0,0,1,0,0
379,614,36,1,44054.84,1,1,1,73329.08,0,0,1,0,1,0
380,611,28,3,96381.68,2,1,0,181419.29,0,0,1,0,1,0
381,755,45,7,135643.0,1,0,0,143619.52,0,1,0,0,1,1
382,705,48,0,0.0,2,0,0,149772.61,1,0,0,0,1,0
383,540,37,3,129965.18,1,0,0,19374.08,0,1,0,1,0,0
384,740,37,9,0.0,2,1,1,73225.31,1,0,0,0,1,0
385,638,55,2,155828.22,1,0,1,108987.25,0,0,1,0,1,1
